dataset_id,ville
12-station-meteo-toulouse-montaudran,Toulouse
08-station-meteo-toulouse-basso-cambo,Toulouse
42-station-meteo-toulouse-parc-compans-cafarelli,Toulouse
33-station-meteo-saint-jory-chapelle-beldou,Saint-Jory
31-station-meteo-mons-station-epuration,Mons
19-station-meteo-mondouzil-mairie,Mondouzil
11-station-meteo-toulouse-soupetard,Toulouse
02-station-meteo-toulouse-marengo,Toulouse
13-station-meteo-toulouse-pech-david,Toulouse
24-station-meteo-colomiers-zi-enjacca,Colomiers
62-station-meteo-toulouse-parc-maourine,Toulouse
37-station-meteo-toulouse-universite-paul-sabatier,Toulouse
58-station-meteo-toulouse-fondeyre,Toulouse
40-station-meteo-toulouse-zi-thibaud,Toulouse
